"id";"Name";"SkillLevel";"Effect";"Available";"Unlocked"
167;"Howl of Calm";3;"[""Adds 25% chance of restoring 8% HP after taking a hit""]";0;0
168;"Howl of Calm";4;"[""Adds 25% chance of restoring 10% HP after taking a hit""]";0;0
169;"Howl of Calm";5;"[""Adds 25% chance of restoring 12% HP after taking a hit""]";0;0
170;"Water Mastery";1;"[""The power of a Water Blade""]";0;0
171;"Water Mastery";2;"[""The power of a Water Blade""]";0;0
172;"Water Mastery";3;"[""The power of a Water Blade""]";0;0
173;"Botany";1;"[""Knowledge related to plants""]";0;0
174;"Botany";2;"[""Knowledge related to plants""]";0;0
175;"Botany";3;"[""Knowledge related to plants""]";0;0
176;"Ancient Wisdom";1;"[""Knowledge of ancient civilizations. Used to decode writing, etc""]";0;0
177;"Ancient Wisdom";2;"[""Knowledge of ancient civilizations. Used to decode writing, etc""]";0;0
178;"Ancient Wisdom";3;"[""Knowledge of ancient civilizations. Used to decode writing, etc""]";0;0
179;"Affinity";1;"[""Unlocks level 1 of the Affinity Chart""]";0;0
180;"Affinity";2;"[""Unlocks level 2 of the Affinity Chart""]";0;0
181;"Affinity";3;"[""Unlocks level 3 of the Affinity Chart"", ""Affinity bond will be easier to sustain""]";0;0
182;"Affinity";4;"[""Unlocks level 4 of the Affinity Chart""]";0;0
183;"Affinity";5;"[""Unlocks level 5 of the Affinity Chart""]";0;0
184;"Poppi Spinning Slash";1;"[""Effects are determined by the specifications in Poppiswap""]";0;0
185;"Poppi Spinning Slash";2;"[""Effects are determined by the specifications in Poppiswap""]";0;0
186;"Poppi Spinning Slash";3;"[""Effects are determined by the specifications in Poppiswap""]";0;0
187;"Poppi Spinning Slash";4;"[""Effects are determined by the specifications in Poppiswap""]";0;0
188;"Poppi Spinning Slash";5;"[""Effects are determined by the specifications in Poppiswap""]";0;0
189;"Noponic Storm";1;"[""Effects are determined by the specifications in Poppiswap""]";0;0
190;"Noponic Storm";2;"[""Effects are determined by the specifications in Poppiswap""]";0;0
191;"Noponic Storm";3;"[""Effects are determined by the specifications in Poppiswap""]";0;0
192;"Noponic Storm";4;"[""Effects are determined by the specifications in Poppiswap""]";0;0
193;"Noponic Storm";5;"[""Effects are determined by the specifications in Poppiswap""]";0;0
194;"Poppi Drill";1;"[""Effects are determined by the specifications in Poppiswap""]";0;0
195;"Poppi Drill";2;"[""Effects are determined by the specifications in Poppiswap""]";0;0
196;"Poppi Drill";3;"[""Effects are determined by the specifications in Poppiswap""]";0;0
197;"Poppi Drill";4;"[""Effects are determined by the specifications in Poppiswap""]";0;0
198;"Poppi Drill";5;"[""Effects are determined by the specifications in Poppiswap""]";0;0
199;"Noponic Iron";1;"[""Boosts physical and ether defense by 5%""]";0;0
200;"Noponic Iron";2;"[""Boosts physical and ether defense by 6%""]";0;0
201;"Noponic Iron";3;"[""Boosts physical and ether defense by 7%""]";0;0
202;"Noponic Iron";4;"[""Boosts physical and ether defense by 8%""]";0;0
203;"Noponic Iron";5;"[""Boosts physical and ether defense by 10%""]";0;0
204;"Guard Shift";1;"[""Increases block rate by 10%""]";0;0
205;"Guard Shift";2;"[""Increases block rate by 12%""]";0;0
206;"Guard Shift";3;"[""Increases block rate by 14%""]";0;0
207;"Guard Shift";4;"[""Increases block rate by 16%""]";0;0
208;"Guard Shift";5;"[""Increases block rate by 20%""]";0;0
209;"Emergency Mode";1;"[""Boosts block rate by 20% when HP is 30% or lower""]";0;0
210;"Emergency Mode";2;"[""Boosts block rate by 30% when HP is 30% or lower""]";0;0
211;"Emergency Mode";3;"[""Boosts block rate by 40% when HP is 30% or lower""]";0;0
212;"Emergency Mode";4;"[""Boosts block rate by 50% when HP is 30% or lower""]";0;0
213;"Emergency Mode";5;"[""Boosts block rate by 60% when HP is 30% or lower""]";0;0
214;"Leaping";1;"[""The power to jump. Used to reach high places""]";0;0
215;"Leaping";2;"[""The power to jump. Used to reach high places""]";0;0
216;"Leaping";3;"[""The power to jump. Used to reach high places""]";0;0
217;"Nopon Wisdom";1;"[""Knowledge related to Nopon. Decode writing, speak Nopon, etc""]";0;0
218;"Nopon Wisdom";2;"[""Knowledge related to Nopon. Decode writing, speak Nopon, etc""]";0;0
219;"Nopon Wisdom";3;"[""Knowledge related to Nopon. Decode writing, speak Nopon, etc""]";0;0
220;"Superstrength";1;"[""Extraordinary physical strength. Used to break things, lift them up, etc""]";0;0
221;"Superstrength";2;"[""Extraordinary physical strength. Used to break things, lift them up, etc""]";0;0
222;"Superstrength";3;"[""Extraordinary physical strength. Used to break things, lift them up, etc""]";0;0
223;"Affinity";1;"[""Unlocks level 1 of the Affinity Chart""]";0;0
224;"Affinity";2;"[""Unlocks level 2 of the Affinity Chart""]";0;0
225;"Affinity";3;"[""Unlocks level 3 of the Affinity Chart""]";0;0
226;"Affinity";4;"[""Unlocks level 4 of the Affinity Chart""]";0;0
227;"Affinity";5;"[""Unlocks level 5 of the Affinity Chart""]";0;0
228;"Poppi Missile";1;"[""Effects are determined by the specifications in Poppiswap""]";0;0
229;"Poppi Missile";2;"[""Effects are determined by the specifications in Poppiswap""]";0;0
230;"Poppi Missile";3;"[""Effects are determined by the specifications in Poppiswap""]";0;0
231;"Poppi Missile";4;"[""Effects are determined by the specifications in Poppiswap""]";0;0
232;"Poppi Missile";5;"[""Effects are determined by the specifications in Poppiswap""]";0;0
233;"Poppi Crushing Blow";1;"[""Effects are determined by the specifications in Poppiswap""]";0;0
234;"Poppi Crushing Blow";2;"[""Effects are determined by the specifications in Poppiswap""]";0;0
235;"Poppi Crushing Blow";3;"[""Effects are determined by the specifications in Poppiswap""]";0;0
236;"Poppi Crushing Blow";4;"[""Effects are determined by the specifications in Poppiswap""]";0;0
237;"Poppi Crushing Blow";5;"[""Effects are determined by the specifications in Poppiswap""]";0;0
238;"Noponic Destruction";1;"[""Effects are determined by the specifications in Poppiswap""]";0;0
239;"Noponic Destruction";2;"[""Effects are determined by the specifications in Poppiswap""]";0;0
240;"Noponic Destruction";3;"[""Effects are determined by the specifications in Poppiswap""]";0;0
241;"Noponic Destruction";4;"[""Effects are determined by the specifications in Poppiswap""]";0;0
242;"Noponic Destruction";5;"[""Effects are determined by the specifications in Poppiswap""]";0;0
243;"Velocity Gear";1;"[""Adds 5% chance for user to land perfect hits and evade enemy attacks""]";0;0
244;"Velocity Gear";2;"[""Adds 7% chance for user to land perfect hits and evade enemy attacks""]";0;0
245;"Velocity Gear";3;"[""Adds 10% chance for user to land perfect hits and evade enemy attacks""]";0;0
246;"Velocity Gear";4;"[""Adds 12% chance for user to land perfect hits and evade enemy attacks""]";0;0
247;"Velocity Gear";5;"[""Adds 15% chance for user to land perfect hits and evade enemy attacks""]";0;0
248;"Flash Counter";1;"[""Counters attacks with 160% physical damage""]";0;0
249;"Flash Counter";2;"[""Counters attacks with 200% physical damage""]";0;0
250;"Flash Counter";3;"[""Counters attacks with 240% physical damage""]";0;0
251;"Flash Counter";4;"[""Counters attacks with 280% physical damage""]";0;0
252;"Flash Counter";5;"[""Counters attacks with 320% physical damage""]";0;0
253;"Flash Boot";1;"[""Reduces the cooldown time for a Blade Switch by 10%""]";0;0
254;"Flash Boot";2;"[""Reduces the cooldown time for a Blade Switch by 15%""]";0;0
255;"Flash Boot";3;"[""Reduces the cooldown time for a Blade Switch by 20%""]";0;0
256;"Flash Boot";4;"[""Reduces the cooldown time for a Blade Switch by 25%""]";0;0
257;"Flash Boot";5;"[""Reduces the cooldown time for a Blade Switch by 30%""]";0;0
258;"Lockpicking";1;"[""The power to open various things. Works on doors, treasure troves, etc""]";0;0
259;"Lockpicking";2;"[""The power to open various things. Works on doors, treasure troves, etc""]";0;0
260;"Lockpicking";3;"[""The power to open various things. Works on doors, treasure troves, etc""]";0;0
261;"Fortitude";1;"[""The power to endure hardships. It even helps cope with boring jobs""]";0;0
262;"Fortitude";2;"[""The power to endure hardships. It even helps cope with boring jobs""]";0;0
263;"Fortitude";3;"[""The power to endure hardships. It even helps cope with boring jobs""]";0;0
264;"Agronomy";1;"[""Knowledge related to vegetables""]";0;0
265;"Agronomy";2;"[""Knowledge related to vegetables""]";0;0
266;"Agronomy";3;"[""Knowledge related to vegetables""]";0;0
267;"Affinity";1;"[""Unlocks level 1 of the Affinity Chart""]";0;0
268;"Affinity";2;"[""Unlocks level 2 of the Affinity Chart""]";0;0
269;"Affinity";3;"[""Unlocks level 3 of the Affinity Chart"", ""Affinity bond will be easier to sustain""]";0;0
270;"Affinity";4;"[""Unlocks level 4 of the Affinity Chart""]";0;0
271;"Affinity";5;"[""Unlocks level 5 of the Affinity Chart"", ""Affinity bond will be easier to sustain""]";0;0
272;"Poppi Ignition";1;"[""Effects are determined by the specifications in Poppiswap""]";0;0
273;"Poppi Ignition";2;"[""Effects are determined by the specifications in Poppiswap""]";0;0
274;"Poppi Ignition";3;"[""Effects are determined by the specifications in Poppiswap""]";0;0
275;"Poppi Ignition";4;"[""Effects are determined by the specifications in Poppiswap""]";0;0
276;"Poppi Ignition";5;"[""Effects are determined by the specifications in Poppiswap""]";0;0
277;"Noponic Axion";1;"[""Effects are determined by the specifications in Poppiswap""]";0;0
278;"Noponic Axion";2;"[""Effects are determined by the specifications in Poppiswap""]";0;0
279;"Noponic Axion";3;"[""Effects are determined by the specifications in Poppiswap""]";0;0
280;"Noponic Axion";4;"[""Effects are determined by the specifications in Poppiswap""]";0;0
281;"Noponic Axion";5;"[""Effects are determined by the specifications in Poppiswap""]";0;0
282;"Poppi Unlimited";1;"[""Effects are determined by the specifications in Poppiswap""]";0;0
283;"Poppi Unlimited";2;"[""Effects are determined by the specifications in Poppiswap""]";0;0
284;"Poppi Unlimited";3;"[""Effects are determined by the specifications in Poppiswap""]";0;0
285;"Poppi Unlimited";4;"[""Effects are determined by the specifications in Poppiswap""]";0;0
286;"Poppi Unlimited";5;"[""Effects are determined by the specifications in Poppiswap""]";0;0
287;"Reflection";1;"[""Adds 5% chance to reflect attacks""]";0;0
288;"Reflection";2;"[""Adds 7% chance to reflect attacks""]";0;0
289;"Reflection";3;"[""Adds 10% chance to reflect attacks""]";0;0
290;"Reflection";4;"[""Adds 12% chance to reflect attacks""]";0;0
291;"Reflection";5;"[""Adds 15% chance to reflect attacks""]";0;0
292;"Nanomachine Repair";1;"[""Restores 0.6% HP every second while HP is 30% or less""]";0;0
293;"Nanomachine Repair";2;"[""Restores 0.8% HP every second while HP is 30% or less""]";0;0
294;"Nanomachine Repair";3;"[""Restores 1% HP every second while HP is 30% or less""]";0;0
295;"Nanomachine Repair";4;"[""Restores 1.2% HP every second while HP is 30% or less""]";0;0
296;"Nanomachine Repair";5;"[""Restores 1.4% HP every second while HP is 30% or less""]";0;0
297;"Overclock";1;"[""Increases damage dealt by 60% when Affinity is at max""]";0;0
298;"Overclock";2;"[""Increases damage dealt by 70% when Affinity is at max""]";0;0
299;"Overclock";3;"[""Increases damage dealt by 80% when Affinity is at max""]";0;0
300;"Overclock";4;"[""Increases damage dealt by 90% when Affinity is at max""]";0;0
301;"Overclock";5;"[""Increases damage dealt by 100% when Affinity is at max""]";0;0
302;"Keen Eye";1;"[""The power to see things clearly. Used to notice small changes, etc""]";0;0
303;"Keen Eye";2;"[""The power to see things clearly. Used to notice small changes, etc""]";0;0
304;"Keen Eye";3;"[""The power to see things clearly. Used to notice small changes, etc""]";0;0
305;"Ancient Wisdom";1;"[""Knowledge of ancient civilizations. Used to decode writing, etc""]";0;0
306;"Ancient Wisdom";2;"[""Knowledge of ancient civilizations. Used to decode writing, etc""]";0;0
307;"Ancient Wisdom";3;"[""Knowledge of ancient civilizations. Used to decode writing, etc""]";0;0
308;"Forestry";1;"[""Knowledge related to trees""]";0;0
309;"Forestry";2;"[""Knowledge related to trees""]";0;0
310;"Forestry";3;"[""Knowledge related to trees""]";0;0
311;"Affinity";1;"[""Unlocks level 1 of the Affinity Chart""]";0;0
312;"Affinity";2;"[""Unlocks level 2 of the Affinity Chart""]";0;0
313;"Affinity";3;"[""Unlocks level 3 of the Affinity Chart"", ""Affinity bond will be easier to sustain""]";0;0
314;"Affinity";4;"[""Unlocks level 4 of the Affinity Chart""]";0;0
315;"Affinity";5;"[""Unlocks level 5 of the Affinity Chart""]";0;0
316;"Death Wing";1;"[""Increases damage dealt to aerial creatures by 60%""]";0;0
317;"Death Wing";2;"[""Increases damage dealt to aerial creatures by 70%""]";0;0
318;"Death Wing";3;"[""Increases damage dealt to aerial creatures by 80%""]";0;0
319;"Death Wing";4;"[""Increases damage dealt to aerial creatures by 90%""]";0;0
320;"Death Wing";5;"[""Increases damage dealt to aerial creatures by 100%""]";0;0
321;"Crushing Twister";1;"[""Increases damage dealt by 100% when HP is 30% or less""]";0;0
322;"Crushing Twister";2;"[""Increases damage dealt by 110% when HP is 30% or less""]";0;0
323;"Crushing Twister";3;"[""Increases damage dealt by 120% when HP is 30% or less""]";0;0
324;"Crushing Twister";4;"[""Increases damage dealt by 130% when HP is 30% or less""]";0;0
325;"Crushing Twister";5;"[""Increases damage dealt by 150% when HP is 30% or less""]";0;0
326;"Feather Typhoon";1;"[""1% chance of felling an aerial foe on attack (fails on bosses/uniques)""]";0;0
327;"Feather Typhoon";2;"[""2% chance of felling an aerial foe on attack (fails on bosses/uniques)""]";0;0
328;"Feather Typhoon";3;"[""3% chance of felling an aerial foe on attack (fails on bosses/uniques)""]";0;0
329;"Feather Typhoon";4;"[""4% chance of felling an aerial foe on attack (fails on bosses/uniques)""]";0;0
330;"Feather Typhoon";5;"[""5% chance of felling an aerial foe on attack (fails on bosses/uniques)""]";0;0
331;"Sickle";1;"[""Reduces aggro build-up from attacks by 20%""]";0;0
332;"Sickle";2;"[""Reduces aggro build-up from attacks by 25%""]";0;0
333;"Sickle";3;"[""Reduces aggro build-up from attacks by 30%""]";0;0
334;"Sickle";4;"[""Reduces aggro build-up from attacks by 35%""]";0;0
