"id";"Name";"Category";"Type";"IsDriver";"LowestLevel";"HighestLevel";"Location";"DLCRequired";"SpawnCondition";"Drops";"Available";"Beaten"
12;"Fissa Aligo";"Salvage";2;0;33;37;291;0;"Any";"[{""Name"": ""Spike Defense II"", ""Type"": ""Aux Core"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""13.5%""},{""Name"": ""Shoulder to Shoulder II"", ""Type"": ""Aux Core"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""12.6%""},{""Name"": ""Pentagon Chip"", ""Type"": ""Core Chip"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""12.6%""},{""Name"": ""Silver Feather"", ""Type"": ""Accessory"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""8.4%""},{""Name"": ""Silver Feather"", ""Type"": ""Accessory"", ""Rarity"": ""Legendary (rarity 3)"", ""Rate"": ""5.6%""},{""Name"": ""Common Core Crystal"", ""Type"": ""Core Crystal"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""5.0%""}]";0;0
13;"Flink Aligo";"Salvage";2;0;29;36;400;0;"Any";"[{""Name"": ""Swift Evasion II"", ""Type"": ""Aux Core"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""12.6%""},{""Name"": ""Affinity MAX Acc II"", ""Type"": ""Aux Core"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""10.8%""},{""Name"": ""Blade Combo Boost II"", ""Type"": ""Aux Core"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""9.0%""},{""Name"": ""Glass Chip"", ""Type"": ""Core Chip"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""14.0%""},{""Name"": ""Sage's Auspices"", ""Type"": ""Accessory"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""8.4%""},{""Name"": ""Sage's Auspices"", ""Type"": ""Accessory"", ""Rarity"": ""Legendary (rarity 3)"", ""Rate"": ""5.6%""},{""Name"": ""Common Core Crystal"", ""Type"": ""Core Crystal"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""5.0%""}]";0;0
14;"Fuvor Aligo";"Normal";2;0;43;45;386;0;"Any";"[{""Name"": ""Outdoor Attack Up III"", ""Type"": ""Aux Core"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""11.2%""},{""Name"": ""Ambush Boost III"", ""Type"": ""Aux Core"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""11.2%""},{""Name"": ""Telepathy III"", ""Type"": ""Aux Core"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""11.2%""},{""Name"": ""Edge Attachment"", ""Type"": ""Accessory"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""7.2%""},{""Name"": ""Edge Attachment"", ""Type"": ""Accessory"", ""Rarity"": ""Legendary (rarity 3)"", ""Rate"": ""4.8%""},{""Name"": ""Brachinite Chip"", ""Type"": ""Core Chip"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""10.8%""},{""Name"": ""Common Core Crystal"", ""Type"": ""Core Crystal"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""7.5%""}]";0;0
15;"Jumbri Aligo";"Salvage";2;0;16;20;89;0;"Any";"[{""Name"": ""Night Vision I"", ""Type"": ""Aux Core"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""14.0%""},{""Name"": ""Specials Lv 1 Plus I"", ""Type"": ""Aux Core"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""14.0%""},{""Name"": ""Fabulous Hat"", ""Type"": ""Accessory"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""8.4%""},{""Name"": ""Fabulous Hat"", ""Type"": ""Accessory"", ""Rarity"": ""Legendary (rarity 3)"", ""Rate"": ""5.6%""},{""Name"": ""Common Core Crystal"", ""Type"": ""Core Crystal"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""5.0%""}]";0;0
16;"Obri Aligo";"Normal";2;0;80;84;332;0;"Ether Fog";"[{""Name"": ""Ice Absorb"", ""Type"": ""Accessory"", ""Rarity"": ""Legendary (rarity 3)"", ""Rate"": ""7.2%""},{""Name"": ""Break Resist V"", ""Type"": ""Aux Core"", ""Rarity"": ""Legendary (rarity 3)"", ""Rate"": ""6.0%""},{""Name"": ""Damage Heal V"", ""Type"": ""Aux Core"", ""Rarity"": ""Legendary (rarity 3)"", ""Rate"": ""7.2%""},{""Name"": ""Common Core Crystal"", ""Type"": ""Core Crystal"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""12.5%""}]";0;0
17;"Rekon Aligo";"Salvage";2;0;23;30;260;0;"Any";"[{""Name"": ""Auto-Attack Stealth II"", ""Type"": ""Aux Core"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""10.8%""},{""Name"": ""Gold Gear Choker"", ""Type"": ""Accessory"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""14.0%""},{""Name"": ""Steel Chip"", ""Type"": ""Core Chip"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""14.0%""},{""Name"": ""Bolt Hat"", ""Type"": ""Accessory"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""7.2%""},{""Name"": ""Bolt Hat"", ""Type"": ""Accessory"", ""Rarity"": ""Legendary (rarity 3)"", ""Rate"": ""4.8%""},{""Name"": ""Mechanized Greaves"", ""Type"": ""Accessory"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""7.2%""},{""Name"": ""Mechanized Greaves"", ""Type"": ""Accessory"", ""Rarity"": ""Legendary (rarity 3)"", ""Rate"": ""4.8%""},{""Name"": ""Common Core Crystal"", ""Type"": ""Core Crystal"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""5.0%""}]";0;0
18;"Smart Aligo";"Minor";2;0;20;24;172;0;"Any";"[{""Name"": ""Specials Lv 3 Plus I"", ""Type"": ""Aux Core"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""14.0%""},{""Name"": ""Beast Hunter I"", ""Type"": ""Aux Core"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""14.0%""},{""Name"": ""Fabulous Hat"", ""Type"": ""Accessory"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""8.4%""},{""Name"": ""Fabulous Hat"", ""Type"": ""Accessory"", ""Rarity"": ""Legendary (rarity 3)"", ""Rate"": ""5.6%""},{""Name"": ""Common Core Crystal"", ""Type"": ""Core Crystal"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""5.0%""}]";0;0
19;"Tarun Aligo";"Quest";2;0;46;0;389;0;"Quest";"[{""Name"": ""Beast Hunter III"", ""Type"": ""Aux Core"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""11.2%""},{""Name"": ""Endurance III"", ""Type"": ""Aux Core"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""9.6%""},{""Name"": ""Aggro Boost III"", ""Type"": ""Aux Core"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""9.6%""},{""Name"": ""Phantom Feather"", ""Type"": ""Accessory"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""14.0%""},{""Name"": ""Berserk Ring"", ""Type"": ""Accessory"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""6.0%""},{""Name"": ""Berserk Ring"", ""Type"": ""Accessory"", ""Rarity"": ""Legendary (rarity 3)"", ""Rate"": ""4.0%""},{""Name"": ""Common Core Crystal"", ""Type"": ""Core Crystal"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""7.5%""}]";0;0
20;"Tronk Aligo";"Quest";2;0;46;0;160;0;"Quest";"[{""Name"": ""Outdoor Attack Up III"", ""Type"": ""Aux Core"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""11.2%""},{""Name"": ""Ambush Boost III"", ""Type"": ""Aux Core"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""11.2%""},{""Name"": ""Telepathy III"", ""Type"": ""Aux Core"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""11.2%""},{""Name"": ""Edge Attachment"", ""Type"": ""Accessory"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""7.2%""},{""Name"": ""Edge Attachment"", ""Type"": ""Accessory"", ""Rarity"": ""Legendary (rarity 3)"", ""Rate"": ""4.8%""},{""Name"": ""Brachinite Chip"", ""Type"": ""Core Chip"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""10.8%""},{""Name"": ""Common Core Crystal"", ""Type"": ""Core Crystal"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""7.5%""}]";0;0
21;"Megalo Aligo";"Boss";2;0;4;0;4;0;"Story";"[]";0;0
22;"Bluth Aligos";"Challenge";2;0;56;0;1;0;"Challenge";"[]";0;0
23;"Megayogre Aligo";"Challenge";2;0;63;0;1;0;"Challenge";"[]";0;0
24;"Megaspoony Aligo";"Challenge";2;0;66;0;1;0;"Challenge";"[]";0;0
25;"Reddeth Aligo";"Challenge";2;0;58;0;1;0;"Challenge";"[]";0;0
26;"Spektr Aligo";"Challenge";2;0;106;0;1;0;"Challenge";"[]";0;0
27;"Spoony Aligo";"Challenge";2;0;60;0;1;0;"Challenge";"[]";0;0
28;"Yogre Aligo";"Challenge";2;0;58;0;1;0;"Challenge";"[]";0;0
29;"Goldol Anlood";"Normal";3;0;44;50;423;0;"Any";"[{""Name"": ""Specials Lv 3 Plus III"", ""Type"": ""Aux Core"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""11.2%""},{""Name"": ""Swift Evasion III"", ""Type"": ""Aux Core"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""11.2%""},{""Name"": ""Hero Gloves"", ""Type"": ""Accessory"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""12.0%""},{""Name"": ""Phantom Feather"", ""Type"": ""Accessory"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""8.4%""},{""Name"": ""Phantom Feather"", ""Type"": ""Accessory"", ""Rarity"": ""Legendary (rarity 3)"", ""Rate"": ""5.6%""},{""Name"": ""Opal Chip"", ""Type"": ""Core Chip"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""10.8%""},{""Name"": ""Common Core Crystal"", ""Type"": ""Core Crystal"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""7.5%""}]";0;0
30;"Klim Anlood";"Normal";3;0;36;40;339;0;"Snow, Daytime";"[{""Name"": ""Fire Def Up III"", ""Type"": ""Aux Core"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""9.6%""},{""Name"": ""Eraser Orb"", ""Type"": ""Accessory"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""14.0%""},{""Name"": ""Overclocking Bangle"", ""Type"": ""Accessory"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""7.2%""},{""Name"": ""Overclocking Bangle"", ""Type"": ""Accessory"", ""Rarity"": ""Legendary (rarity 3)"", ""Rate"": ""4.8%""},{""Name"": ""Motor Chip"", ""Type"": ""Core Chip"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""10.8%""},{""Name"": ""Common Core Crystal"", ""Type"": ""Core Crystal"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""7.5%""}]";0;0
31;"Rudoni Anlood";"Normal";3;0;24;31;219;0;"Sunny, Cloudy";"[{""Name"": ""Auto-Attack Stealth II"", ""Type"": ""Aux Core"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""10.8%""},{""Name"": ""Gold Gear Choker"", ""Type"": ""Accessory"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""14.0%""},{""Name"": ""Steel Chip"", ""Type"": ""Core Chip"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""14.0%""},{""Name"": ""Bolt Hat"", ""Type"": ""Accessory"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""7.2%""},{""Name"": ""Bolt Hat"", ""Type"": ""Accessory"", ""Rarity"": ""Legendary (rarity 3)"", ""Rate"": ""4.8%""},{""Name"": ""Mechanized Greaves"", ""Type"": ""Accessory"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""7.2%""},{""Name"": ""Mechanized Greaves"", ""Type"": ""Accessory"", ""Rarity"": ""Legendary (rarity 3)"", ""Rate"": ""4.8%""},{""Name"": ""Common Core Crystal"", ""Type"": ""Core Crystal"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""5.0%""}]";0;0
32;"Tomlok Anlood";"Minor";3;0;17;22;151;0;"Any";"[{""Name"": ""Movement Heal I"", ""Type"": ""Aux Core"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""14.0%""},{""Name"": ""Humanoid Hunter I"", ""Type"": ""Aux Core"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""14.0%""},{""Name"": ""Arts Aggro Boost I"", ""Type"": ""Aux Core"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""12.0%""},{""Name"": ""Harvest Necklace"", ""Type"": ""Accessory"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""8.4%""},{""Name"": ""Harvest Necklace"", ""Type"": ""Accessory"", ""Rarity"": ""Legendary (rarity 3)"", ""Rate"": ""5.6%""},{""Name"": ""Common Core Crystal"", ""Type"": ""Core Crystal"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""5.0%""}]";0;0
33;"Slasher Buffon";"Unique";3;0;40;0;220;0;"Anytime except during Sandstorms and Geothermal Haze";"[{""Name"": ""Motor Chip"", ""Type"": ""Core Chip"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""10.8%""},{""Name"": ""Beast Hunter III"", ""Type"": ""Aux Core"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""11.2%""},{""Name"": ""Ice Def Up IV"", ""Type"": ""Aux Core"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""8.4%""},{""Name"": ""Incense of Insight"", ""Type"": ""Accessory"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""8.4%""},{""Name"": ""Incense of Insight"", ""Type"": ""Accessory"", ""Rarity"": ""Legendary (rarity 3)"", ""Rate"": ""5.6%""},{""Name"": ""Specials Lv 1 Plus III"", ""Type"": ""Aux Core"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""11.2%""},{""Name"": ""Common Core Crystal"", ""Type"": ""Core Crystal"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""13.0%""},{""Name"": ""Rare Core Crystal"", ""Type"": ""Core Crystal"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""8.0%""}]";0;0
34;"Duff Anlood";"Challenge";3;0;27;0;1;0;"Challenge";"[]";0;0
35;"Dirid Ansel";"Normal";4;0;49;51;424;0;"Any";"[{""Name"": ""Humanoid Hunter III"", ""Type"": ""Aux Core"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""11.2%""},{""Name"": ""Shoulder to Shoulder III"", ""Type"": ""Aux Core"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""11.2%""},{""Name"": ""Reflect Damage Up III"", ""Type"": ""Aux Core"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""12.0%""},{""Name"": ""Bloody Orb"", ""Type"": ""Accessory"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""14.0%""},{""Name"": ""Goddess Choker"", ""Type"": ""Accessory"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""7.2%""},{""Name"": ""Goddess Choker"", ""Type"": ""Accessory"", ""Rarity"": ""Legendary (rarity 3)"", ""Rate"": ""4.8%""},{""Name"": ""Cube Chip"", ""Type"": ""Core Chip"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""10.8%""},{""Name"": ""Common Core Crystal"", ""Type"": ""Core Crystal"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""7.5%""}]";0;0
36;"Riveral Ansel";"Normal";4;0;57;59;468;0;"Any";"[{""Name"": ""Aquatic Hunter IV"", ""Type"": ""Aux Core"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""9.8%""},{""Name"": ""Jet Pauldrons"", ""Type"": ""Accessory"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""14.0%""},{""Name"": ""Sunlight Eye IV"", ""Type"": ""Aux Core"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""9.8%""},{""Name"": ""Scythe Attachment"", ""Type"": ""Accessory"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""7.2%""},{""Name"": ""Scythe Attachment"", ""Type"": ""Accessory"", ""Rarity"": ""Legendary (rarity 3)"", ""Rate"": ""4.8%""},{""Name"": ""Positron Chip"", ""Type"": ""Core Chip"", ""Rarity"": ""Rare (rarity 2)"", ""Rate"": ""9.0%""},{""Name"": ""Common Core Crystal"", ""Type"": ""Core Crystal"", ""Rarity"": ""Common (rarity 1)"", ""Rate"": ""12.5%""}]";0;0
