"id";"RequiredBy";"OtherPrerequisiteName";"OtherPrerequisiteDetail";"StoryProgress";"DLCRequired";"Location";"Heart2HeartTitle";"SideQuest";"MercMissionTitle";"MonsterTitle";"MonsterType";"AffinityChartNode";"PouchItemType";"PouchItem";"Progress"
51;64;"Use a move";6;0;0;0;0;0;0;0;0;62;0;0;0
52;65;"Finish an enemy - Normal";4;0;0;0;0;0;0;940;0;0;0;0;0
53;66;"Use a move";8;0;0;0;0;0;0;0;0;62;0;0;0
54;67;"Use a Blade Art";3;0;0;0;0;0;0;0;0;0;0;0;0
55;68;"Help an incapacitated ally";10;0;0;0;0;0;0;0;0;0;0;0;0
56;69;"Heart-to-heart";1;0;0;0;7;0;0;0;0;0;0;0;0
57;70;"Use a Blade Art";7;0;0;0;0;0;0;0;0;0;0;0;0
58;71;"Swap Blades during battle - Previous instances count toward total";4000;0;0;0;0;0;0;0;0;0;0;0;0
59;72;"Blade combo";2;0;0;0;0;0;0;0;0;0;0;0;0
60;73;"Driver combo";5;0;0;0;0;0;0;0;0;0;0;0;0
61;74;"Deal a critical hit";7;0;0;0;0;0;0;0;0;0;0;0;0
62;75;"Heart-to-heart";1;0;0;0;48;0;0;0;0;0;0;0;0
63;76;"Driver combo";12;0;0;0;0;0;0;0;0;0;0;0;0
64;78;"Deal a critical hit";5;0;0;0;0;0;0;0;0;0;0;0;0
65;79;"Walk - Previous instances count toward total";80000;0;0;0;0;0;0;0;0;0;0;0;0
66;80;"Evade an attack";9;0;0;0;0;0;0;0;0;0;0;0;0
67;81;"Blade combo";12;0;0;0;0;0;0;0;0;0;0;0;0
68;83;"Discover an area - Previous instances count toward total";12;0;0;0;0;0;0;0;0;0;0;0;0
69;84;"Collect stuff - Previous instances count toward total";25;0;0;0;0;0;0;0;0;0;0;0;0
70;86;"Use pouch item";4;0;0;0;0;0;0;0;0;0;0;15;0
71;87;"Button challenge during a battle - Previous instances count toward total";100;0;0;0;0;0;0;0;0;0;0;0;0
72;89;"Make food - Previous instances count toward total";10;0;0;39;0;0;0;0;0;0;0;0;0
73;90;"Make food - Previous instances count toward total";50;0;0;39;0;0;0;0;0;0;0;0;0
74;92;"Trust";100;0;0;0;0;0;0;0;0;0;0;0;0
75;93;"Trust";1300;0;0;0;0;0;0;0;0;0;0;0;0
76;94;"Trust";3800;0;0;0;0;0;0;0;0;0;0;0;0
77;95;"Trust";8800;0;0;0;0;0;0;0;0;0;0;0;0
78;97;"Use a move";10;0;0;0;0;0;0;0;0;96;0;0;0
79;98;"Finish an enemy - Normal";4;0;0;0;0;0;0;705;0;0;0;0;0
80;99;"Finish an enemy - Normal";4;0;0;0;0;0;0;828;0;0;0;0;0
81;100;"Finish an enemy - Unique";1;0;0;0;0;0;0;944;0;0;0;0;0
82;102;"Finish an enemy - Normal";5;0;0;0;0;0;0;424;0;0;0;0;0
83;103;"Finish an enemy - Peng Species";5;0;0;0;0;0;0;0;61;0;0;0;0
84;104;"Use a move";9;0;0;0;0;0;0;0;0;101;0;0;0
85;105;"Blade combo";10;0;0;0;0;0;0;0;0;0;0;0;0
86;107;"Finish an enemy - Normal";5;0;0;0;0;0;0;514;0;0;0;0;0
87;108;"Use a move";6;0;0;0;0;0;0;0;0;106;0;0;0
88;109;"Blade combo";10;0;0;0;0;0;0;0;0;0;0;0;0
89;110;"Finish an enemy - Unique";1;0;0;0;0;0;0;846;0;0;0;0;0
90;112;"Evade an attack";5;0;0;0;0;0;0;0;0;0;0;0;0
91;113;"Raise Affinity in combat";5;0;0;0;0;0;0;0;0;0;0;0;0
92;114;"Deal a critical hit";8;0;0;0;0;0;0;0;0;0;0;0;0
93;115;"Heart-to-heart";1;0;0;0;47;0;0;0;0;0;0;0;0
94;117;"Raise Affinity in combat";2;0;0;0;0;0;0;0;0;0;0;0;0
95;118;"Deal a critical hit";7;0;0;0;0;0;0;0;0;0;0;0;0
96;119;"Help an incapacitated ally";20;0;0;0;0;0;0;0;0;0;0;0;0
97;120;"Raise Affinity in combat";100;0;0;0;0;0;0;0;0;0;0;0;0
98;121;"Deal a critical hit";3;0;0;0;0;0;0;0;0;0;0;0;0
99;122;"Evade an attack";5;0;0;0;0;0;0;0;0;0;0;0;0
100;123;"Evade an attack";7;0;0;0;0;0;0;0;0;0;0;0;0
101;124;"Evade an attack";9;0;0;0;0;0;0;0;0;0;0;0;0
102;125;"Walk - Previous instances count toward total";400000;0;0;0;0;0;0;0;0;0;0;0;0
103;127;"Go shopping - Previous instances count toward total";50;0;0;0;0;0;0;0;0;0;0;0;0
104;128;"Go shopping - Previous instances count toward total";100;0;0;0;0;0;0;0;0;0;0;0;0
105;129;"Talk to people - Previous instances count toward total";20;0;0;0;0;0;0;0;0;0;0;0;0
106;130;"Use pouch item (Mythra's favourite - Dessert)";4;0;0;0;0;0;0;0;0;0;4;0;0
107;131;"Use pouch item (Mythra's favourite - Art)";2;0;0;0;0;0;0;0;0;0;1;0;0
108;133;"Talk to people - Previous instances count toward total";50;0;0;0;0;0;0;0;0;0;0;0;0
109;134;"Talk to people - Previous instances count toward total";100;0;0;0;0;0;0;0;0;0;0;0;0
110;136;"Trust";100;0;0;0;0;0;0;0;0;0;0;0;0
111;137;"Trust";1600;0;0;0;0;0;0;0;0;0;0;0;0
112;138;"Trust";4600;0;0;0;0;0;0;0;0;0;0;0;0
113;139;"Trust";10600;0;0;0;0;0;0;0;0;0;0;0;0
114;141;"Finish an enemy - Volff Species";6;0;0;0;0;0;0;0;90;0;0;0;0
115;142;"Use a move";11;0;0;0;0;0;0;0;0;140;0;0;0
116;143;"Finish an enemy - Normal";4;0;0;0;0;0;0;14;0;0;0;0;0
117;144;"Finish an enemy - Unique";1;0;0;0;0;0;0;579;0;0;0;0;0
118;146;"Finish an enemy - Volff Species";6;0;0;0;0;0;0;0;90;0;0;0;0
119;147;"Finish an enemy - Normal";4;0;0;0;0;0;0;242;0;0;0;0;0
120;148;"Use a move";9;0;0;0;0;0;0;0;0;145;0;0;0
121;149;"Finish an enemy - Unique";1;0;0;0;0;0;0;40;0;0;0;0;0
122;151;"Driver combo";5;0;0;0;0;0;0;0;0;0;0;0;0
123;152;"Use a move";6;0;0;0;0;0;0;0;0;150;0;0;0
124;153;"Finish an enemy - Normal";4;0;0;0;0;0;0;463;0;0;0;0;0
125;154;"Use a move";8;0;0;0;0;0;0;0;0;150;0;0;0
126;156;"Blade combo";5;0;0;0;0;0;0;0;0;0;0;0;0
127;157;"Driver combo";7;0;0;0;0;0;0;0;0;0;0;0;0
128;158;"Blade combo";10;0;0;0;0;0;0;0;0;0;0;0;0
129;159;"Quest (Any)";100;0;0;0;0;0;0;0;0;0;0;0;0
130;160;"Driver combo";2;0;0;0;0;0;0;0;0;0;0;0;0
131;161;"Use pouch item (Dromarch's favourite - Meat)";4;0;0;0;0;0;0;0;0;0;8;0;0
132;162;"Blade combo";7;0;0;0;0;0;0;0;0;0;0;0;0
133;163;"Driver combo";10;0;0;0;0;0;0;0;0;0;0;0;0
134;164;"Stay at an inn - Previous instances cound toward total";50;0;0;0;0;0;0;0;0;0;0;0;0
135;166;"Block an attack";5;0;0;0;0;0;0;0;0;0;0;0;0
136;167;"Block an attack";7;0;0;0;0;0;0;0;0;0;0;0;0
137;168;"Heart-to-heart";1;0;0;0;21;0;0;0;0;0;0;0;0
138;169;"Engage in combat";100;0;0;0;0;0;0;0;0;0;0;0;0
139;171;"Finish an enemy - Normal";5;0;0;0;0;0;0;859;0;0;0;0;0
140;172;"Finish an enemy - Normal";5;0;0;0;0;0;0;888;0;0;0;0;0
141;174;"Gather item from Collectibles list - Flower type";25;0;0;0;0;0;0;0;0;0;20;0;0
142;175;"Gather item from Collectibles list - Previous instances count toward total";250;0;0;0;0;0;0;0;0;0;0;0;0
143;176;"Gather item from Collectibles list - Mechanical type";5;0;0;0;0;0;0;0;0;0;15;0;0
144;177;"Gather item from Collectibles list - Mechanical type";20;0;0;0;0;0;0;0;0;0;15;0;0
145;178;"Gather item through salvaging - Treasure type";7;0;0;0;0;0;0;0;0;0;13;0;0
146;180;"Trust";100;0;0;0;0;0;0;0;0;0;0;0;0
147;181;"Trust";1600;0;0;0;0;0;0;0;0;0;0;0;0
148;182;"Trust";4600;0;0;0;0;0;0;0;0;0;0;0;0
149;183;"Trust";10600;0;0;0;0;0;0;0;0;0;0;0;0
150;185;"Blade combo";5;0;0;0;0;0;0;0;0;0;0;0;0
151;186;"Driver combo";7;0;0;0;0;0;0;0;0;0;0;0;0
152;187;"Use a move";12;0;0;0;0;0;0;0;0;184;0;0;0
153;188;"Blade combo finisher";3;0;0;0;0;0;0;0;0;0;0;0;0
154;190;"Use a move";7;0;0;0;0;0;0;0;0;189;0;0;0
155;191;"Blade combo";7;0;0;0;0;0;0;0;0;0;0;0;0
156;192;"Driver combo";10;0;0;0;0;0;0;0;0;0;0;0;0
157;193;"Collect an HP Potion - Previous instances count toward total";500;0;0;0;0;0;0;0;0;0;0;0;0
158;195;"Driver combo";5;0;0;0;0;0;0;0;0;0;0;0;0
159;196;"Use a move";6;0;0;0;0;0;0;0;0;194;0;0;0
160;197;"Blade combo";10;0;0;0;0;0;0;0;0;0;0;0;0
161;198;"Driver combo finisher";3;0;0;0;0;0;0;0;0;0;0;0;0
162;200;"Use pouch item (Poppi Alpha's fav - Instrument)";2;0;0;0;0;0;0;0;0;0;0;22;0
163;201;"Raise Affinity in combat";5;0;0;0;0;0;0;0;0;0;0;0;0
164;202;"Raise Affinity in combat";6;0;0;0;0;0;0;0;0;0;0;0;0
165;203;"Deal a critical hit - Previous instances count toward total";200000;0;0;0;0;0;0;0;0;0;0;0;0
166;204;"Block an attack";2;0;0;0;0;0;0;0;0;0;0;0;0
167;205;"Block an attack";5;0;0;0;0;0;0;0;0;0;0;0;0
168;206;"Heart-to-heart";1;0;0;0;57;0;0;0;0;0;0;0;0
169;207;"Block an attack";9;0;0;0;0;0;0;0;0;0;0;0;0
170;208;"Receive a certain amount of damage";80000;0;0;0;0;0;0;0;0;0;0;0;0
171;209;"Blade combo";2;0;0;0;0;0;0;0;0;0;0;0;0
172;210;"Salvage - Previous instances count toward total";20;0;0;0;0;0;0;0;0;0;0;0;0
173;211;"Tiger! Tiger! score";20000;0;0;39;0;0;0;0;0;0;0;0;0
174;212;"Tiger! Tiger! score";50000;0;0;39;0;0;0;0;0;0;0;0;0
175;213;"Trade items at an exchange";50;0;0;0;0;0;0;0;0;0;0;0;0
176;215;"Use pouch item (Poppi Alpha's fav - Instrument)";2;0;0;0;0;0;0;0;0;0;0;22;0
177;216;"Jump - Previous instances count toward total";300;0;0;0;0;0;0;0;0;0;0;0;0
178;218;"Speak to a Nopon";20;1;0;0;0;0;0;0;0;0;0;0;0
179;219;"Speak to a Nopon";40;1;0;0;0;0;0;0;0;0;0;0;0
180;221;"Use pouch item (Poppi Alpha's fav - Staple Foods)";4;0;0;0;0;0;0;0;0;0;10;0;0
181;222;"Use pouch item (Poppi Alpha's fav - Drinks)";4;0;0;0;0;0;0;0;0;0;0;21;0
182;224;"Trust";100;0;0;0;0;0;0;0;0;0;0;0;0
183;225;"Trust";1300;0;0;0;0;0;0;0;0;0;0;0;0
184;226;"Trust";3800;0;0;0;0;0;0;0;0;0;0;0;0
185;227;"Trust";8800;0;0;0;0;0;0;0;0;0;0;0;0
186;229;"Blade combo";5;0;0;0;0;0;0;0;0;0;0;0;0
187;230;"Driver combo";7;0;0;0;0;0;0;0;0;0;0;0;0
188;231;"Use a move";12;0;0;0;0;0;0;0;0;228;0;0;0
189;232;"Blade combo finisher";3;0;0;0;0;0;0;0;0;0;0;0;0
190;234;"Use pouch item (Poppi QT's fav - Art)";2;0;0;0;0;0;0;0;0;0;1;0;0
191;235;"Blade combo";7;0;0;0;0;0;0;0;0;0;0;0;0
192;236;"Use a move";9;0;0;0;0;0;0;0;0;233;0;0;0
193;237;"Driver combo finisher";3;0;0;0;0;0;0;0;0;0;0;0;0
194;239;"Driver combo";5;0;0;0;0;0;0;0;0;0;0;0;0
195;240;"Use a move";6;0;0;0;0;0;0;0;0;238;0;0;0
196;241;"Blade combo";10;0;0;0;0;0;0;0;0;0;0;0;0
197;242;"Use a move";8;0;0;0;0;0;0;0;0;238;0;0;0
198;244;"Deal a certain amount of total damage";8000;0;0;0;0;0;0;0;0;0;0;0;0
199;245;"Deal a certain amount of total damage";16000;0;0;0;0;0;0;0;0;0;0;0;0
200;246;"Deal a certain amount of total damage";32000;0;0;0;0;0;0;0;0;0;0;0;0
201;247;"Block an attack - Previous instances count toward total";250;0;0;0;0;0;0;0;0;0;0;0;0
202;248;"Evade an attack";3;0;0;0;0;0;0;0;0;0;0;0;0
203;249;"Evade an attack";5;0;0;0;0;0;0;0;0;0;0;0;0
204;250;"Evade an attack";7;0;0;0;0;0;0;0;0;0;0;0;0
205;251;"Heart-to-heart";1;0;0;0;41;0;0;0;0;0;0;0;0
206;252;"Make money from Item exchanges - Previous instances count toward total";160000;0;0;0;0;0;0;0;0;0;0;0;0
207;253;"Gather item from Collectibles list - Vegetable type";5;0;0;0;0;0;0;0;0;0;19;0;0
208;254;"Use a Blade Art";5;0;0;0;0;0;0;0;0;0;0;0;0
209;255;"Use a Blade Art";6;0;0;0;0;0;0;0;0;0;0;0;0
210;256;"Use a Blade Art";7;0;0;0;0;0;0;0;0;0;0;0;0
211;257;"Salvage - Previous instances count toward total";25;0;0;0;0;0;0;0;0;0;0;0;0
212;259;"Open Treasure troves - Previous instances count toward total";100;0;0;0;0;0;0;0;0;0;0;0;0
213;260;"Open Treasure troves - Previous instances count toward total";300;0;0;0;0;0;0;0;0;0;0;0;0
214;262;"Use pouch item (Poppi QT's fav - Vegetables)";4;0;0;0;0;0;0;0;0;0;12;0;0
215;263;"Use pouch item (Poppi QT's fav - Dessert)";4;0;0;0;0;0;0;0;0;0;0;23;0
216;265;"Gather item from Collectibles list - Vegetable type";25;0;0;0;0;0;0;0;0;0;19;0;0
217;266;"Gather item from Collectibles list - Vegetable type";30;0;0;0;0;0;0;0;0;0;19;0;0
218;268;"Trust";100;0;0;0;0;0;0;0;0;0;0;0;0
219;269;"Trust";1100;0;0;0;0;0;0;0;0;0;0;0;0
220;270;"Trust";3300;0;0;0;0;0;0;0;0;0;0;0;0
221;271;"Trust";7800;0;0;0;0;0;0;0;0;0;0;0;0
222;273;"Use a move";10;0;0;0;0;0;0;0;0;272;0;0;0
223;274;"Deal a certain amount of total damage";7000;0;0;0;0;0;0;0;0;0;0;0;0
224;275;"Finish an enemy - Normal";4;0;0;0;0;0;0;154;0;0;0;0;0
225;276;"Use a move";13;0;0;0;0;0;0;0;0;272;0;0;0
226;278;"Finish an enemy - Mechanical (eg. Dajan Sovereigns - Land of Morytha)";5;0;0;0;0;0;0;8;0;0;0;0;0
227;279;"Use a move";8;0;0;0;0;0;0;0;0;277;0;0;0
228;280;"Deal a certain amount of total damage";8000;0;0;0;0;0;0;0;0;0;0;0;0
229;281;"Finish an enemy - Unique";1;0;0;0;0;0;0;904;0;0;0;0;0
230;283;"Deal a certain amount of total damage";6000;0;0;0;0;0;0;0;0;0;0;0;0
231;284;"Finish an enemy - Mechanical (eg. Dajan Sovereigns - Land of Morytha)";5;0;0;0;0;0;0;8;0;0;0;0;0
232;285;"Use a move";7;0;0;0;0;0;0;0;0;282;0;0;0
233;286;"Deal a certain amount of total damage";9999999;0;0;0;0;0;0;0;0;0;0;0;0
234;288;"Blade combo";5;0;0;0;0;0;0;0;0;0;0;0;0
235;289;"Blade combo";7;0;0;0;0;0;0;0;0;0;0;0;0
236;290;"Blade combo";10;0;0;0;0;0;0;0;0;0;0;0;0
237;291;"Finish with a blade combo - Previous instances count toward total";600;0;0;0;0;0;0;0;0;0;0;0;0
238;293;"Driver combo";5;0;0;0;0;0;0;0;0;0;0;0;0
239;294;"Driver combo";7;0;0;0;0;0;0;0;0;0;0;0;0
240;295;"Driver combo";10;0;0;0;0;0;0;0;0;0;0;0;0
241;296;"Driver combo finisher";250;0;0;0;0;0;0;0;0;0;0;0;0
242;298;"Use a Blade Art";5;0;0;0;0;0;0;0;0;0;0;0;0
243;299;"Use a Blade Art";6;0;0;0;0;0;0;0;0;0;0;0;0
244;300;"Heart-to-heart";1;0;0;0;58;0;0;0;0;0;0;0;0
245;301;"Chain attack";200;0;0;0;0;0;0;0;0;0;0;0;0
246;303;"Use pouch item (Poppi QT Alpha's fav - Textile)";2;0;0;0;0;0;0;0;0;0;11;0;0
247;304;"Use pouch item (Poppi QT Alpha's fav - Cosmetics)";2;0;0;0;0;0;0;0;0;0;0;26;0
248;306;"Gather item from Collectibles list - Mechanical type";25;0;0;0;0;0;0;0;0;0;15;0;0
249;307;"Gather item through salvaging - Treasure type";10;0;0;0;0;0;0;0;0;0;13;0;0
250;309;"Gather item through salvaging - Treasure type";25;0;0;0;0;0;0;0;0;0;13;0;0
251;310;"Gather item through salvaging - Treasure type";30;0;0;0;0;0;0;0;0;0;13;0;0
252;312;"Increase Merc level";2;0;0;0;0;0;0;0;0;0;0;0;0
253;313;"Increase Merc level";3;0;0;0;0;0;0;0;0;0;0;0;0
254;314;"Increase Merc level";4;0;0;0;0;0;0;0;0;0;0;0;0
255;315;"Increase Merc level";5;0;0;0;0;0;0;0;0;0;0;0;0
256;317;"Trust";100;0;0;0;0;0;0;0;0;0;0;0;0
257;318;"Deal a certain amount of total damage";2400;0;0;0;0;0;0;0;0;0;0;0;0
258;319;"Use a move";12;0;0;0;0;0;0;0;0;316;0;0;0
259;320;"Use pouch item - Any";33;0;0;0;0;0;0;0;0;0;0;0;0
260;322;"Use a move";7;0;0;0;0;0;0;0;0;321;0;0;0
261;323;"Trust";1300;0;0;0;0;0;0;0;0;0;0;0;0
262;324;"Deal a certain amount of total damage";4800;0;0;0;0;0;0;0;0;0;0;0;0
263;325;"Use a move";10;0;0;0;0;0;0;0;0;321;0;0;0
264;327;"Use a move";5;0;0;0;0;0;0;0;0;326;0;0;0
265;328;"Finish an enemy - Piranhax Species";5;0;0;0;0;0;0;0;63;0;0;0;0
266;329;"Trust";3800;0;0;0;0;0;0;0;0;0;0;0;0
267;330;"Finish an enemy - Normal";5;0;0;0;0;0;0;876;0;0;0;0;0
268;331;"Deal a certain amount of total damage";200;0;0;0;0;0;0;0;0;0;0;0;0
269;332;"Use pouch item (Roc's fav - Seafood)";4;0;0;0;0;0;0;0;0;0;9;0;0
270;333;"Blade combo";7;0;0;0;0;0;0;0;0;0;0;0;0
271;334;"Blade combo";10;0;0;0;0;0;0;0;0;0;0;0;0
272;335;"Resonate with a Core Crystal - Previous instances count toward total";50;0;0;0;0;0;0;0;0;0;0;0;0
273;337;"Deal a certain amount of total damage";8000;0;0;0;0;0;0;0;0;0;0;0;0
274;338;"Deal a certain amount of total damage";16000;0;0;0;0;0;0;0;0;0;0;0;0
275;339;"Deal a certain amount of total damage";32000;0;0;0;0;0;0;0;0;0;0;0;0
276;340;"Merc Mission - (Any) Previous instances count toward total";160;0;0;0;0;0;0;0;0;0;0;0;0
277;341;"Driver combo";2;0;0;0;0;0;0;0;0;0;0;0;0
278;342;"Chain attack";2;0;0;0;0;0;0;0;0;0;0;0;0
279;343;"Chain attack";4;0;0;0;0;0;0;0;0;0;0;0;0
280;344;"Heart-to-heart";1;0;0;0;14;0;0;0;0;0;0;0;0
281;345;"Sell items - Previous instances count toward total";100;0;0;0;0;0;0;0;0;0;0;0;0
282;347;"Finish an enemy - Normal";5;0;0;0;0;0;0;849;0;0;0;0;0
283;348;"Finish an enemy - Normal";5;0;0;0;0;0;0;7;0;0;0;0;0
284;351;"Gather item from Collectibles list - Insect type";25;0;0;0;0;0;0;0;0;0;18;0;0
285;352;"Gather item from Collectibles list - Insect type";30;0;0;0;0;0;0;0;0;0;18;0;0
286;354;"Trust";100;0;0;0;0;0;0;0;0;0;0;0;0
287;355;"Trust";1300;0;0;0;0;0;0;0;0;0;0;0;0
288;356;"Trust";3800;0;0;0;0;0;0;0;0;0;0;0;0
289;357;"Trust";8800;0;0;0;0;0;0;0;0;0;0;0;0
290;359;"Deal a certain amount of total damage";800;0;0;0;0;0;0;0;0;0;0;0;0
291;360;"Finish an enemy - Normal";6;0;0;0;0;0;0;415;0;0;0;0;0
292;361;"Use a move";12;0;0;0;0;0;0;0;0;358;0;0;0
293;362;"Deal a certain amount of total damage";8000;0;0;0;0;0;0;0;0;0;0;0;0
294;364;"Use a move";7;0;0;0;0;0;0;0;0;363;0;0;0
295;365;"Deal a certain amount of total damage";2400;0;0;0;0;0;0;0;0;0;0;0;0
296;366;"Finish an enemy - Normal";4;0;0;0;0;0;0;938;0;0;0;0;0
297;367;"Use a move";10;0;0;0;0;0;0;0;0;363;0;0;0
298;369;"Finish an enemy - Normal";5;0;0;0;0;0;0;412;0;0;0;0;0
299;370;"Use a move";6;0;0;0;0;0;0;0;0;368;0;0;0
300;371;"Deal a certain amount of total damage";4800;0;0;0;0;0;0;0;0;0;0;0;0
301;372;"Finish an enemy - Unique";1;0;0;0;0;0;0;673;0;0;0;0;0
302;374;"Evade an attack";5;0;0;0;0;0;0;0;0;0;0;0;0
303;375;"Evade an attack";7;0;0;0;0;0;0;0;0;0;0;0;0
304;376;"Evade an attack";9;0;0;0;0;0;0;0;0;0;0;0;0
305;377;"Acquire money";300000;0;0;0;0;0;0;0;0;0;0;0;0
306;378;"Evade an attack";3;0;0;0;0;0;0;0;0;0;0;0;0
307;379;"Raise Affinity in combat";2;0;0;0;0;0;0;0;0;0;0;0;0
308;380;"Raise Affinity in combat";5;0;0;0;0;0;0;0;0;0;0;0;0
309;381;"Heart-to-heart";1;0;0;0;47;0;0;0;0;0;0;0;0
310;382;"Development Level - Each area";3;6;0;0;0;0;0;0;0;0;0;0;0
311;384;"Blade combo";5;0;0;0;0;0;0;0;0;0;0;0;0
312;385;"Use pouch item (Brighid's fav - Cosmetics)";2;0;0;0;0;0;0;0;0;0;0;30;0
313;386;"Blade combo";10;0;0;0;0;0;0;0;0;0;0;0;0
314;387;"Spend money - Previous instances count toward total";1500000;0;0;0;0;0;0;0;0;0;0;0;0
315;389;"Finish an enemy - Normal";5;0;0;0;0;0;0;47;0;0;0;0;0
316;390;"Finish an enemy - Normal";4;0;0;0;0;0;0;638;0;0;0;0;0
317;391;"Use a Blade Art";3;0;0;0;0;0;0;0;0;0;0;0;0
318;392;"Use pouch item (Brighid's fav - Desserts)";4;0;0;0;0;0;0;0;0;0;0;29;0
319;393;"Discover an area - Previous instances count toward total";140;0;0;0;0;0;0;0;0;0;0;0;0
320;394;"Gather item from Collectibles list - Ore type";5;0;0;0;0;0;0;0;0;0;16;0;0
321;395;"Gather item from Collectibles list - Ore type";25;0;0;0;0;0;0;0;0;0;16;0;0
322;396;"Gather item from Collectibles list - Ore type";30;0;0;0;0;0;0;0;0;0;16;0;0
323;398;"Trust";100;0;0;0;0;0;0;0;0;0;0;0;0
324;399;"Trust";1300;0;0;0;0;0;0;0;0;0;0;0;0
325;400;"Trust";3800;0;0;0;0;0;0;0;0;0;0;0;0
326;401;"Trust";8800;0;0;0;0;0;0;0;0;0;0;0;0
327;403;"Deal a certain amount of total damage";800;0;0;0;0;0;0;0;0;0;0;0;0
328;404;"Deal a certain amount of total damage";16000;0;0;0;0;0;0;0;0;0;0;0;0
329;405;"Use a move";12;0;0;0;0;0;0;0;0;402;0;0;0
330;406;"Finish an enemy - Unique";1;0;0;0;0;0;0;286;0;0;0;0;0
331;408;"Use a move";7;0;0;0;0;0;0;0;0;407;0;0;0
332;409;"Deal a certain amount of total damage";2400;0;0;0;0;0;0;0;0;0;0;0;0
